IssueKey,Summary,MITRE
DETE-1,CSV-IMPORT,T1583 Acquire Infrastructure -> T1583.007 Acquire Infrastructure: Serverless
DETE-1,CSV-IMPORT,T1583 Acquire Infrastructure -> T1583.003 Acquire Infrastructure: Virtual Private Server
DETE-1,CSV-IMPORT,T1583 Acquire Infrastructure -> T1583.006 Acquire Infrastructure: Web Services
DETE-1,CSV-IMPORT,T1595 Active Scanning -> T1595.001 Active Scanning: Scanning IP Blocks
DETE-1,CSV-IMPORT,T1595 Active Scanning -> T1595.002 Active Scanning: Vulnerability Scanning
DETE-1,CSV-IMPORT,T1595 Active Scanning -> T1595.003 Active Scanning: Wordlist Scanning
DETE-1,CSV-IMPORT,T1557 Adversary-in-the-Middle -> T1557.002 Adversary-in-the-Middle: ARP Cache Poisoning
DETE-1,CSV-IMPORT,T1557 Adversary-in-the-Middle -> T1557.003 Adversary-in-the-Middle: DHCP Spoofing
DETE-1,CSV-IMPORT,T1557 Adversary-in-the-Middle -> T1557.004 Adversary-in-the-Middle: Evil Twin
DETE-1,CSV-IMPORT,T1557 Adversary-in-the-Middle -> T1557.001 Adversary-in-the-Middle: LLMNR/NBT-NS Poisoning and SMB Relay
DETE-1,CSV-IMPORT,T1071 Application Layer Protocol -> T1071.004 Application Layer Protocol: DNS
DETE-1,CSV-IMPORT,T1071 Application Layer Protocol -> T1071.002 Application Layer Protocol: File Transfer Protocols
DETE-1,CSV-IMPORT,T1071 Application Layer Protocol -> T1071.003 Application Layer Protocol: Mail Protocols
DETE-1,CSV-IMPORT,T1071 Application Layer Protocol -> T1071.005 Application Layer Protocol: Publish/Subscribe Protocols
DETE-1,CSV-IMPORT,T1071 Application Layer Protocol -> T1071.001 Application Layer Protocol: Web Protocols
DETE-1,CSV-IMPORT,T1560 Archive Collected Data -> T1560.003 Archive Collected Data: Archive via Custom Method
DETE-1,CSV-IMPORT,T1560 Archive Collected Data -> T1560.002 Archive Collected Data: Archive via Library
DETE-1,CSV-IMPORT,T1560 Archive Collected Data -> T1560.001 Archive Collected Data: Archive via Utility
DETE-1,CSV-IMPORT,T1020 Automated Exfiltration -> T1020.001 Automated Exfiltration: Traffic Duplication
DETE-1,CSV-IMPORT,T1547 Boot or Logon Autostart Execution -> T1547.014 Boot or Logon Autostart Execution: Active Setup
DETE-1,CSV-IMPORT,T1547 Boot or Logon Autostart Execution -> T1547.002 Boot or Logon Autostart Execution: Authentication Package
DETE-1,CSV-IMPORT,T1547 Boot or Logon Autostart Execution -> T1547.006 Boot or Logon Autostart Execution: Kernel Modules and Extensions
DETE-1,CSV-IMPORT,T1547 Boot or Logon Autostart Execution -> T1547.008 Boot or Logon Autostart Execution: LSASS Driver
DETE-1,CSV-IMPORT,T1547 Boot or Logon Autostart Execution -> T1547.015 Boot or Logon Autostart Execution: Login Items
DETE-1,CSV-IMPORT,T1547 Boot or Logon Autostart Execution -> T1547.010 Boot or Logon Autostart Execution: Port Monitors
DETE-1,CSV-IMPORT,T1547 Boot or Logon Autostart Execution -> T1547.012 Boot or Logon Autostart Execution: Print Processors
DETE-1,CSV-IMPORT,T1547 Boot or Logon Autostart Execution -> T1547.007 Boot or Logon Autostart Execution: Re-opened Applications
DETE-1,CSV-IMPORT,T1547 Boot or Logon Autostart Execution -> T1547.001 Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder
DETE-1,CSV-IMPORT,T1547 Boot or Logon Autostart Execution -> T1547.005 Boot or Logon Autostart Execution: Security Support Provider
DETE-1,CSV-IMPORT,T1547 Boot or Logon Autostart Execution -> T1547.009 Boot or Logon Autostart Execution: Shortcut Modification
DETE-1,CSV-IMPORT,T1547 Boot or Logon Autostart Execution -> T1547.003 Boot or Logon Autostart Execution: Time Providers
DETE-1,CSV-IMPORT,T1547 Boot or Logon Autostart Execution -> T1547.004 Boot or Logon Autostart Execution: Winlogon Helper DLL
DETE-1,CSV-IMPORT,T1547 Boot or Logon Autostart Execution -> T1547.013 Boot or Logon Autostart Execution: XDG Autostart Entries
DETE-1,CSV-IMPORT,T1037 Boot or Logon Initialization Scripts -> T1037.002 Boot or Logon Initialization Scripts: Login Hook
DETE-1,CSV-IMPORT,T1037 Boot or Logon Initialization Scripts -> T1037.001 Boot or Logon Initialization Scripts: Logon Script (Windows)
DETE-1,CSV-IMPORT,T1037 Boot or Logon Initialization Scripts -> T1037.003 Boot or Logon Initialization Scripts: Network Logon Script
DETE-1,CSV-IMPORT,T1037 Boot or Logon Initialization Scripts -> T1037.004 Boot or Logon Initialization Scripts: RC Scripts
DETE-1,CSV-IMPORT,T1037 Boot or Logon Initialization Scripts -> T1037.005 Boot or Logon Initialization Scripts: Startup Items
DETE-1,CSV-IMPORT,T1110 Brute Force -> T1110.004 Brute Force: Credential Stuffing
DETE-1,CSV-IMPORT,T1110 Brute Force -> T1110.002 Brute Force: Password Cracking
DETE-1,CSV-IMPORT,T1110 Brute Force -> T1110.001 Brute Force: Password Guessing
DETE-1,CSV-IMPORT,T1110 Brute Force -> T1110.003 Brute Force: Password Spraying
DETE-1,CSV-IMPORT,T1059 Command and Scripting Interpreter -> T1059.002 Command and Scripting Interpreter: AppleScript
DETE-1,CSV-IMPORT,T1059 Command and Scripting Interpreter -> T1059.010 Command and Scripting Interpreter: AutoHotKey & AutoIT
DETE-1,CSV-IMPORT,T1059 Command and Scripting Interpreter -> T1059.009 Command and Scripting Interpreter: Cloud API
DETE-1,CSV-IMPORT,T1059 Command and Scripting Interpreter -> T1059.013 Command and Scripting Interpreter: Container CLI/API
DETE-1,CSV-IMPORT,T1059 Command and Scripting Interpreter -> T1059.012 Command and Scripting Interpreter: Hypervisor CLI
DETE-1,CSV-IMPORT,T1059 Command and Scripting Interpreter -> T1059.007 Command and Scripting Interpreter: JavaScript
DETE-1,CSV-IMPORT,T1059 Command and Scripting Interpreter -> T1059.011 Command and Scripting Interpreter: Lua
DETE-1,CSV-IMPORT,T1059 Command and Scripting Interpreter -> T1059.008 Command and Scripting Interpreter: Network Device CLI
DETE-1,CSV-IMPORT,T1059 Command and Scripting Interpreter -> T1059.001 Command and Scripting Interpreter: PowerShell
DETE-1,CSV-IMPORT,T1059 Command and Scripting Interpreter -> T1059.006 Command and Scripting Interpreter: Python
DETE-1,CSV-IMPORT,T1059 Command and Scripting Interpreter -> T1059.004 Command and Scripting Interpreter: Unix Shell
DETE-1,CSV-IMPORT,T1059 Command and Scripting Interpreter -> T1059.005 Command and Scripting Interpreter: Visual Basic
DETE-1,CSV-IMPORT,T1059 Command and Scripting Interpreter -> T1059.003 Command and Scripting Interpreter: Windows Command Shell
DETE-1,CSV-IMPORT,T1586 Compromise Accounts -> T1586.003 Compromise Accounts: Cloud Accounts
DETE-1,CSV-IMPORT,T1586 Compromise Accounts -> T1586.002 Compromise Accounts: Email Accounts
DETE-1,CSV-IMPORT,T1586 Compromise Accounts -> T1586.001 Compromise Accounts: Social Media Accounts
DETE-1,CSV-IMPORT,T1584 Compromise Infrastructure -> T1584.005 Compromise Infrastructure: Botnet
DETE-1,CSV-IMPORT,T1584 Compromise Infrastructure -> T1584.002 Compromise Infrastructure: DNS Server
DETE-1,CSV-IMPORT,T1584 Compromise Infrastructure -> T1584.001 Compromise Infrastructure: Domains
DETE-1,CSV-IMPORT,T1584 Compromise Infrastructure -> T1584.008 Compromise Infrastructure: Network Devices
DETE-1,CSV-IMPORT,T1584 Compromise Infrastructure -> T1584.004 Compromise Infrastructure: Server
DETE-1,CSV-IMPORT,T1584 Compromise Infrastructure -> T1584.007 Compromise Infrastructure: Serverless
DETE-1,CSV-IMPORT,T1584 Compromise Infrastructure -> T1584.003 Compromise Infrastructure: Virtual Private Server
DETE-1,CSV-IMPORT,T1584 Compromise Infrastructure -> T1584.006 Compromise Infrastructure: Web Services
DETE-1,CSV-IMPORT,T1136 Create Account -> T1136.003 Create Account: Cloud Account
DETE-1,CSV-IMPORT,T1136 Create Account -> T1136.002 Create Account: Domain Account
DETE-1,CSV-IMPORT,T1136 Create Account -> T1136.001 Create Account: Local Account
DETE-1,CSV-IMPORT,T1543 Create or Modify System Process -> T1543.005 Create or Modify System Process: Container Service
DETE-1,CSV-IMPORT,T1543 Create or Modify System Process -> T1543.001 Create or Modify System Process: Launch Agent
DETE-1,CSV-IMPORT,T1543 Create or Modify System Process -> T1543.004 Create or Modify System Process: Launch Daemon
DETE-1,CSV-IMPORT,T1543 Create or Modify System Process -> T1543.002 Create or Modify System Process: Systemd Service
DETE-1,CSV-IMPORT,T1543 Create or Modify System Process -> T1543.003 Create or Modify System Process: Windows Service
DETE-1,CSV-IMPORT,T1555 Credentials from Password Stores -> T1555.006 Credentials from Password Stores: Cloud Secrets Management Stores
DETE-1,CSV-IMPORT,T1555 Credentials from Password Stores -> T1555.003 Credentials from Password Stores: Credentials from Web Browsers
DETE-1,CSV-IMPORT,T1555 Credentials from Password Stores -> T1555.001 Credentials from Password Stores: Keychain
DETE-1,CSV-IMPORT,T1555 Credentials from Password Stores -> T1555.005 Credentials from Password Stores: Password Managers
DETE-1,CSV-IMPORT,T1555 Credentials from Password Stores -> T1555.002 Credentials from Password Stores: Securityd Memory
DETE-1,CSV-IMPORT,T1555 Credentials from Password Stores -> T1555.004 Credentials from Password Stores: Windows Credential Manager
DETE-1,CSV-IMPORT,T1485 Data Destruction -> T1485.001 Data Destruction: Lifecycle-Triggered Deletion
DETE-1,CSV-IMPORT,T1132 Data Encoding -> T1132.002 Data Encoding: Non-Standard Encoding
DETE-1,CSV-IMPORT,T1132 Data Encoding -> T1132.001 Data Encoding: Standard Encoding
DETE-1,CSV-IMPORT,T1565 Data Manipulation -> T1565.003 Data Manipulation: Runtime Data Manipulation
DETE-1,CSV-IMPORT,T1565 Data Manipulation -> T1565.001 Data Manipulation: Stored Data Manipulation
DETE-1,CSV-IMPORT,T1565 Data Manipulation -> T1565.002 Data Manipulation: Transmitted Data Manipulation
DETE-1,CSV-IMPORT,T1001 Data Obfuscation -> T1001.001 Data Obfuscation: Junk Data
DETE-1,CSV-IMPORT,T1001 Data Obfuscation -> T1001.003 Data Obfuscation: Protocol or Service Impersonation
DETE-1,CSV-IMPORT,T1001 Data Obfuscation -> T1001.002 Data Obfuscation: Steganography
DETE-1,CSV-IMPORT,T1074 Data Staged -> T1074.001 Data Staged: Local Data Staging
DETE-1,CSV-IMPORT,T1074 Data Staged -> T1074.002 Data Staged: Remote Data Staging
DETE-1,CSV-IMPORT,T1602 Data from Configuration Repository -> T1602.002 Data from Configuration Repository: Network Device Configuration Dump
DETE-1,CSV-IMPORT,T1602 Data from Configuration Repository -> T1602.001 Data from Configuration Repository: SNMP (MIB Dump)
DETE-1,CSV-IMPORT,T1213 Data from Information Repositories -> T1213.003 Data from Information Repositories: Code Repositories
DETE-1,CSV-IMPORT,T1213 Data from Information Repositories -> T1213.001 Data from Information Repositories: Confluence
DETE-1,CSV-IMPORT,T1213 Data from Information Repositories -> T1213.004 Data from Information Repositories: Customer Relationship Management Software
DETE-1,CSV-IMPORT,T1213 Data from Information Repositories -> T1213.006 Data from Information Repositories: Databases
DETE-1,CSV-IMPORT,T1213 Data from Information Repositories -> T1213.005 Data from Information Repositories: Messaging Applications
DETE-1,CSV-IMPORT,T1213 Data from Information Repositories -> T1213.002 Data from Information Repositories: Sharepoint
DETE-1,CSV-IMPORT,T1491 Defacement -> T1491.002 Defacement: External Defacement
DETE-1,CSV-IMPORT,T1491 Defacement -> T1491.001 Defacement: Internal Defacement
DETE-1,CSV-IMPORT,T1587 Develop Capabilities -> T1587.002 Develop Capabilities: Code Signing Certificates
DETE-1,CSV-IMPORT,T1587 Develop Capabilities -> T1587.003 Develop Capabilities: Digital Certificates
DETE-1,CSV-IMPORT,T1587 Develop Capabilities -> T1587.004 Develop Capabilities: Exploits
DETE-1,CSV-IMPORT,T1587 Develop Capabilities -> T1587.001 Develop Capabilities: Malware
DETE-1,CSV-IMPORT,T1561 Disk Wipe -> T1561.001 Disk Wipe: Disk Content Wipe
DETE-1,CSV-IMPORT,T1561 Disk Wipe -> T1561.002 Disk Wipe: Disk Structure Wipe
DETE-1,CSV-IMPORT,T1484 Domain or Tenant Policy Modification -> T1484.001 Domain or Tenant Policy Modification: Group Policy Modification
DETE-1,CSV-IMPORT,T1484 Domain or Tenant Policy Modification -> T1484.002 Domain or Tenant Policy Modification: Trust Modification
DETE-1,CSV-IMPORT,T1568 Dynamic Resolution -> T1568.003 Dynamic Resolution: DNS Calculation
DETE-1,CSV-IMPORT,T1568 Dynamic Resolution -> T1568.002 Dynamic Resolution: Domain Generation Algorithms
DETE-1,CSV-IMPORT,T1568 Dynamic Resolution -> T1568.001 Dynamic Resolution: Fast Flux DNS
DETE-1,CSV-IMPORT,T1114 Email Collection -> T1114.003 Email Collection: Email Forwarding Rule
DETE-1,CSV-IMPORT,T1114 Email Collection -> T1114.001 Email Collection: Local Email Collection
DETE-1,CSV-IMPORT,T1114 Email Collection -> T1114.002 Email Collection: Remote Email Collection
DETE-1,CSV-IMPORT,T1573 Encrypted Channel -> T1573.002 Encrypted Channel: Asymmetric Cryptography
DETE-1,CSV-IMPORT,T1573 Encrypted Channel -> T1573.001 Encrypted Channel: Symmetric Cryptography
DETE-1,CSV-IMPORT,T1499 Endpoint Denial of Service -> T1499.003 Endpoint Denial of Service: Application Exhaustion Flood
DETE-1,CSV-IMPORT,T1499 Endpoint Denial of Service -> T1499.004 Endpoint Denial of Service: Application or System Exploitation
DETE-1,CSV-IMPORT,T1499 Endpoint Denial of Service -> T1499.001 Endpoint Denial of Service: OS Exhaustion Flood
DETE-1,CSV-IMPORT,T1499 Endpoint Denial of Service -> T1499.002 Endpoint Denial of Service: Service Exhaustion Flood
DETE-1,CSV-IMPORT,T1585 Establish Accounts -> T1585.003 Establish Accounts: Cloud Accounts
DETE-1,CSV-IMPORT,T1585 Establish Accounts -> T1585.002 Establish Accounts: Email Accounts
DETE-1,CSV-IMPORT,T1585 Establish Accounts -> T1585.001 Establish Accounts: Social Media Accounts
DETE-1,CSV-IMPORT,T1546 Event Triggered Execution -> T1546.008 Event Triggered Execution: Accessibility Features
DETE-1,CSV-IMPORT,T1546 Event Triggered Execution -> T1546.009 Event Triggered Execution: AppCert DLLs
DETE-1,CSV-IMPORT,T1546 Event Triggered Execution -> T1546.010 Event Triggered Execution: AppInit DLLs
DETE-1,CSV-IMPORT,T1546 Event Triggered Execution -> T1546.011 Event Triggered Execution: Application Shimming
DETE-1,CSV-IMPORT,T1546 Event Triggered Execution -> T1546.001 Event Triggered Execution: Change Default File Association
DETE-1,CSV-IMPORT,T1546 Event Triggered Execution -> T1546.015 Event Triggered Execution: Component Object Model Hijacking
DETE-1,CSV-IMPORT,T1546 Event Triggered Execution -> T1546.014 Event Triggered Execution: Emond
DETE-1,CSV-IMPORT,T1546 Event Triggered Execution -> T1546.012 Event Triggered Execution: Image File Execution Options Injection
DETE-1,CSV-IMPORT,T1546 Event Triggered Execution -> T1546.016 Event Triggered Execution: Installer Packages
DETE-1,CSV-IMPORT,T1546 Event Triggered Execution -> T1546.006 Event Triggered Execution: LC_LOAD_DYLIB Addition
DETE-1,CSV-IMPORT,T1546 Event Triggered Execution -> T1546.007 Event Triggered Execution: Netsh Helper DLL
DETE-1,CSV-IMPORT,T1546 Event Triggered Execution -> T1546.013 Event Triggered Execution: PowerShell Profile
DETE-1,CSV-IMPORT,T1546 Event Triggered Execution -> T1546.018 Event Triggered Execution: Python Startup Hooks
DETE-1,CSV-IMPORT,T1546 Event Triggered Execution -> T1546.002 Event Triggered Execution: Screensaver
DETE-1,CSV-IMPORT,T1546 Event Triggered Execution -> T1546.005 Event Triggered Execution: Trap
DETE-1,CSV-IMPORT,T1546 Event Triggered Execution -> T1546.017 Event Triggered Execution: Udev Rules
DETE-1,CSV-IMPORT,T1546 Event Triggered Execution -> T1546.004 Event Triggered Execution: Unix Shell Configuration Modification
DETE-1,CSV-IMPORT,T1546 Event Triggered Execution -> T1546.003 Event Triggered Execution: Windows Management Instrumentation Event Subscription
DETE-1,CSV-IMPORT,T1480 Execution Guardrails -> T1480.001 Execution Guardrails: Environmental Keying
DETE-1,CSV-IMPORT,T1480 Execution Guardrails -> T1480.002 Execution Guardrails: Mutual Exclusion
DETE-1,CSV-IMPORT,T1048 Exfiltration Over Alternative Protocol -> T1048.002 Exfiltration Over Alternative Protocol: Exfiltration Over Asymmetric Encrypted Non-C2 Protocol
DETE-1,CSV-IMPORT,T1048 Exfiltration Over Alternative Protocol -> T1048.001 Exfiltration Over Alternative Protocol: Exfiltration Over Symmetric Encrypted Non-C2 Protocol
DETE-1,CSV-IMPORT,T1048 Exfiltration Over Alternative Protocol -> T1048.003 Exfiltration Over Alternative Protocol: Exfiltration Over Unencrypted Non-C2 Protocol
DETE-1,CSV-IMPORT,T1011 Exfiltration Over Other Network Medium -> T1011.001 Exfiltration Over Other Network Medium: Exfiltration Over Bluetooth
DETE-1,CSV-IMPORT,T1052 Exfiltration Over Physical Medium -> T1052.001 Exfiltration Over Physical Medium: Exfiltration over USB
DETE-1,CSV-IMPORT,T1567 Exfiltration Over Web Service -> T1567.004 Exfiltration Over Web Service: Exfiltration Over Webhook
DETE-1,CSV-IMPORT,T1567 Exfiltration Over Web Service -> T1567.002 Exfiltration Over Web Service: Exfiltration to Cloud Storage
DETE-1,CSV-IMPORT,T1567 Exfiltration Over Web Service -> T1567.001 Exfiltration Over Web Service: Exfiltration to Code Repository
DETE-1,CSV-IMPORT,T1567 Exfiltration Over Web Service -> T1567.003 Exfiltration Over Web Service: Exfiltration to Text Storage Sites
DETE-1,CSV-IMPORT,T1222 File and Directory Permissions Modification -> T1222.002 File and Directory Permissions Modification: Linux and Mac File and Directory Permissions Modification
DETE-1,CSV-IMPORT,T1222 File and Directory Permissions Modification -> T1222.001 File and Directory Permissions Modification: Windows File and Directory Permissions Modification
DETE-1,CSV-IMPORT,T1606 Forge Web Credentials -> T1606.002 Forge Web Credentials: SAML Tokens
DETE-1,CSV-IMPORT,T1606 Forge Web Credentials -> T1606.001 Forge Web Credentials: Web Cookies
DETE-1,CSV-IMPORT,T1592 Gather Victim Host Information -> T1592.004 Gather Victim Host Information: Client Configurations
DETE-1,CSV-IMPORT,T1592 Gather Victim Host Information -> T1592.003 Gather Victim Host Information: Firmware
DETE-1,CSV-IMPORT,T1592 Gather Victim Host Information -> T1592.001 Gather Victim Host Information: Hardware
DETE-1,CSV-IMPORT,T1592 Gather Victim Host Information -> T1592.002 Gather Victim Host Information: Software
DETE-1,CSV-IMPORT,T1589 Gather Victim Identity Information -> T1589.001 Gather Victim Identity Information: Credentials
DETE-1,CSV-IMPORT,T1589 Gather Victim Identity Information -> T1589.002 Gather Victim Identity Information: Email Addresses
DETE-1,CSV-IMPORT,T1589 Gather Victim Identity Information -> T1589.003 Gather Victim Identity Information: Employee Names
DETE-1,CSV-IMPORT,T1590 Gather Victim Network Information -> T1590.002 Gather Victim Network Information: DNS
DETE-1,CSV-IMPORT,T1590 Gather Victim Network Information -> T1590.001 Gather Victim Network Information: Domain Properties
DETE-1,CSV-IMPORT,T1590 Gather Victim Network Information -> T1590.005 Gather Victim Network Information: IP Addresses
DETE-1,CSV-IMPORT,T1590 Gather Victim Network Information -> T1590.006 Gather Victim Network Information: Network Security Appliances
DETE-1,CSV-IMPORT,T1590 Gather Victim Network Information -> T1590.004 Gather Victim Network Information: Network Topology
DETE-1,CSV-IMPORT,T1590 Gather Victim Network Information -> T1590.003 Gather Victim Network Information: Network Trust Dependencies
DETE-1,CSV-IMPORT,T1591 Gather Victim Org Information -> T1591.002 Gather Victim Org Information: Business Relationships
DETE-1,CSV-IMPORT,T1591 Gather Victim Org Information -> T1591.001 Gather Victim Org Information: Determine Physical Locations
DETE-1,CSV-IMPORT,T1591 Gather Victim Org Information -> T1591.003 Gather Victim Org Information: Identify Business Tempo
DETE-1,CSV-IMPORT,T1591 Gather Victim Org Information -> T1591.004 Gather Victim Org Information: Identify Roles
DETE-1,CSV-IMPORT,T1564 Hide Artifacts -> T1564.013 Hide Artifacts: Bind Mounts
DETE-1,CSV-IMPORT,T1564 Hide Artifacts -> T1564.008 Hide Artifacts: Email Hiding Rules
DETE-1,CSV-IMPORT,T1564 Hide Artifacts -> T1564.014 Hide Artifacts: Extended Attributes
DETE-1,CSV-IMPORT,T1564 Hide Artifacts -> T1564.012 Hide Artifacts: File/Path Exclusions
DETE-1,CSV-IMPORT,T1564 Hide Artifacts -> T1564.005 Hide Artifacts: Hidden File System
DETE-1,CSV-IMPORT,T1564 Hide Artifacts -> T1564.001 Hide Artifacts: Hidden Files and Directories
DETE-1,CSV-IMPORT,T1564 Hide Artifacts -> T1564.002 Hide Artifacts: Hidden Users
DETE-1,CSV-IMPORT,T1564 Hide Artifacts -> T1564.003 Hide Artifacts: Hidden Window
DETE-1,CSV-IMPORT,T1564 Hide Artifacts -> T1564.011 Hide Artifacts: Ignore Process Interrupts
DETE-1,CSV-IMPORT,T1564 Hide Artifacts -> T1564.004 Hide Artifacts: NTFS File Attributes
DETE-1,CSV-IMPORT,T1564 Hide Artifacts -> T1564.010 Hide Artifacts: Process Argument Spoofing
DETE-1,CSV-IMPORT,T1564 Hide Artifacts -> T1564.009 Hide Artifacts: Resource Forking
DETE-1,CSV-IMPORT,T1564 Hide Artifacts -> T1564.006 Hide Artifacts: Run Virtual Instance
DETE-1,CSV-IMPORT,T1564 Hide Artifacts -> T1564.007 Hide Artifacts: VBA Stomping
DETE-1,CSV-IMPORT,T1574 Hijack Execution Flow -> T1574.014 Hijack Execution Flow: AppDomainManager
DETE-1,CSV-IMPORT,T1574 Hijack Execution Flow -> T1574.012 Hijack Execution Flow: COR_PROFILER
DETE-1,CSV-IMPORT,T1574 Hijack Execution Flow -> T1574.001 Hijack Execution Flow: DLL
DETE-1,CSV-IMPORT,T1574 Hijack Execution Flow -> T1574.004 Hijack Execution Flow: Dylib Hijacking
DETE-1,CSV-IMPORT,T1574 Hijack Execution Flow -> T1574.006 Hijack Execution Flow: Dynamic Linker Hijacking
DETE-1,CSV-IMPORT,T1574 Hijack Execution Flow -> T1574.005 Hijack Execution Flow: Executable Installer File Permissions Weakness
DETE-1,CSV-IMPORT,T1574 Hijack Execution Flow -> T1574.013 Hijack Execution Flow: KernelCallbackTable
DETE-1,CSV-IMPORT,T1574 Hijack Execution Flow -> T1574.007 Hijack Execution Flow: Path Interception by PATH Environment Variable
DETE-1,CSV-IMPORT,T1574 Hijack Execution Flow -> T1574.008 Hijack Execution Flow: Path Interception by Search Order Hijacking
DETE-1,CSV-IMPORT,T1574 Hijack Execution Flow -> T1574.009 Hijack Execution Flow: Path Interception by Unquoted Path
DETE-1,CSV-IMPORT,T1574 Hijack Execution Flow -> T1574.010 Hijack Execution Flow: Services File Permissions Weakness
DETE-1,CSV-IMPORT,T1574 Hijack Execution Flow -> T1574.011 Hijack Execution Flow: Services Registry Permissions Weakness
DETE-1,CSV-IMPORT,T1562 Impair Defenses -> T1562.002 Impair Defenses: Disable Windows Event Logging
DETE-1,CSV-IMPORT,T1562 Impair Defenses -> T1562.007 Impair Defenses: Disable or Modify Cloud Firewall
DETE-1,CSV-IMPORT,T1562 Impair Defenses -> T1562.008 Impair Defenses: Disable or Modify Cloud Logs
DETE-1,CSV-IMPORT,T1562 Impair Defenses -> T1562.012 Impair Defenses: Disable or Modify Linux Audit System
DETE-1,CSV-IMPORT,T1562 Impair Defenses -> T1562.013 Impair Defenses: Disable or Modify Network Device Firewall
DETE-1,CSV-IMPORT,T1562 Impair Defenses -> T1562.004 Impair Defenses: Disable or Modify System Firewall
DETE-1,CSV-IMPORT,T1562 Impair Defenses -> T1562.001 Impair Defenses: Disable or Modify Tools
DETE-1,CSV-IMPORT,T1562 Impair Defenses -> T1562.010 Impair Defenses: Downgrade Attack
DETE-1,CSV-IMPORT,T1562 Impair Defenses -> T1562.003 Impair Defenses: Impair Command History Logging
DETE-1,CSV-IMPORT,T1562 Impair Defenses -> T1562.006 Impair Defenses: Indicator Blocking
DETE-1,CSV-IMPORT,T1562 Impair Defenses -> T1562.009 Impair Defenses: Safe Mode Boot
DETE-1,CSV-IMPORT,T1562 Impair Defenses -> T1562.011 Impair Defenses: Spoof Security Alerting
DETE-1,CSV-IMPORT,T1070 Indicator Removal -> T1070.003 Indicator Removal: Clear Command History
DETE-1,CSV-IMPORT,T1070 Indicator Removal -> T1070.002 Indicator Removal: Clear Linux or Mac System Logs
DETE-1,CSV-IMPORT,T1070 Indicator Removal -> T1070.008 Indicator Removal: Clear Mailbox Data
DETE-1,CSV-IMPORT,T1070 Indicator Removal -> T1070.007 Indicator Removal: Clear Network Connection History and Configurations
